name,address1,cate_gories
Katz's Delicatessen,"205 E Houston St, New York, NY, 10002","Delis, Sandwiches, Soup"
Burger & Lobster - Flatiron NYC,"39 W 19th St, New York, NY, 10011","Seafood, Burgers, American (New)"
The Cabin NYC,"205 E 4th St, New York, NY, 10009","American (New), Cocktail Bars, Breakfast & Brunch"
Jack's Wife Freda,"50 Carmine St, New York, NY, 10014","Mediterranean, Cocktail Bars, Breakfast & Brunch"
Columbia Deli & Grill,"1348 Amsterdam Ave, New York, NY, 10027","Delis, Convenience Stores, Sandwiches"
Jane Restaurant,"100 W Houston St, New York, NY, 10012","Breakfast & Brunch, American (New), Bars"
Jacob's Pickles,"509 Amsterdam Ave, New York, NY, 10024","Comfort Food, Southern, American (Traditional)"
Favela Cubana,"543 LaGuardia Pl, New York, NY, 10012","Cuban, Brazilian, Breakfast & Brunch"
Black Tap Craft Burgers & Beer,"45 W 35th St, New York, NY, 10016","American (Traditional), Beer Bar, Cocktail Bars"
The Ear Inn,"326 Spring St, New York, NY, 10013","Bars, American (Traditional)"
Pig and Khao,"68 Clinton St, New York, NY, 10002","Filipino, Thai, Pan Asian"
The Owl Farm,"297 9th St, Brooklyn, NY, 11215",Beer Bar
Junior's Restaurant,"1515 Broadway, New York, NY, 10036","Bakeries, Breakfast & Brunch, Burgers"
Lowerline,"794 Washington Ave, Brooklyn, NY, 11238","Cajun/Creole, Seafood, Southern"
MONO+MONO,"116 E 4th St, New York, NY, 10003","Korean, Cocktail Bars, Desserts"
Tchoup Shop,"50 Wyckoff Ave, Brooklyn, NY, 11237","Cajun/Creole, Southern"
Leyenda,"221 Smith St, Brooklyn, NY, 11201","Latin American, Mexican, Cocktail Bars"
Parisi Bakery,"198 Mott St, New York, NY, 10012","Bakeries, Sandwiches, Delis"
Cafe Habana,"17 Prince St, New York, NY, 10012","Cuban, Mexican"
Buttermilk Channel,"524 Court St, Brooklyn, NY, 11231","American (New), Breakfast & Brunch"
The Dead Rabbit,"30 Water St, New York, NY, 10004",Cocktail Bars
Duane Reade,"77 7th Ave, New York, NY, 10011","Drugstores, Cosmetics & Beauty Supply, Convenience Stores"
