name,address1,cate_gories
Delta Sky Club - Concourse F,6000 N Terminal Pkwy,Airport Lounges
Minute Suites - Concourse B,6000 N Terminal Pkwy,Airport Lounges
The Club ATL,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Concourse B - Gate 18,6000 N Terminal Rd,Airport Lounges
Minute Suites - Concourse T,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Concourse A,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Concourse E,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Concourse T,6000 N Terminal Pkwy,Airport Lounges
United Club,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Concourse C,6000 N Terminal Pkwy,Airport Lounges
Delta Sky Club - Gate D27,6000 N Terminal Pkwy,Airport Lounges
Southwest Airlines,6000 N Terminal Pkwy,Airlines
Hartsfield-Jackson Atlanta International Airport - ATL,6000 N Terminal Pkwy,Airports
USO Council of Georgia,6000 N Terminal Pkwy,"Community Service/Non-Profit, Airport Lounges"
Delta Sky Club - Concourse D,6000 N Terminal Pkwy,Airport Lounges
American Airlines,6000 N Terminal Pkwy,Airlines
Delta Airlines,6000 N Terminal Pkwy,Airlines
Delta Sky Club,6000 N Terminal Pkwy,Airport Lounges
American Airlines Admirals Club,6000 North Terminal Pkwy,Airport Lounges
Terminal C - Atlanta Airport,6000 N Terminal Pkwy,Airport Terminals
Terminal A - Atlanta Airport,6000 N Terminal Pkwy,Airport Terminals
Terminal E - Atlanta Airport,6000 N Terminal Pkwy,Airport Terminals
Joystick Gamebar,427 Edgewood Ave,"Arcades, Cocktail Bars, Dive Bars"
Nightly Spirits,437-C Memorial Dr SE,"Walking Tours, Historical Tours, Pubs"
Atlanta Peach Roll,,"Party Bike Rentals, Food Tours"
The Dive Bar,3184 Roswell Rd,Dive Bars
The Earl,488 Flat Shoals Ave SE,"Dive Bars, Music Venues, American (Traditional)"
Russ Bus ATL,,Party Bus Rentals
Ladybird Grove & Mess Hall,684 John Wesley Dobbs Ave NE,"American (New), Bar Crawl, Barbeque"
Trackside Tavern,313 E College Ave,"Dive Bars, American (Traditional), Pubs"
Fur Bus,1199 Atlanta Industrial Dr,"Party & Event Planning, Party Bus Rentals"
LIT TOURS,,"Wine Tours, Limos, Party Bus Rentals"
SkyLounge,110 Marietta St NW,"Lounges, Venues & Event Spaces"
Red Phone Booth - Downtown Atlanta,17 Andrew Young International Blvd,"Cocktail Bars, Cigar Bars, Speakeasies"
Vibes,4469 Glenwood Rd,"Bars, Caribbean"
Red Phone Booth - Buckhead,3242 Peachtree Rd NE,"Speakeasies, Cigar Bars, Cocktail Bars"
Sky Lounge Cafe,1850 Lawrenceville Hwy,"Hookah Bars, Lounges"
The Anguished Barber,1075 Peachtree St NE,"Barbers, Cocktail Bars"
Modish Restaurant & Bar,2847 Buford Hwy NE,"Tacos, Burgers, Cocktail Bars"
High Note Rooftop Bar,53 14th St NW,Bars
Industry Tavern,3280 Peachtree Rd NE,"American (New), Sports Bars, Pizza"
Nouveau Bar & Grill,3775 Main St,"Cocktail Bars, Karaoke"
Fat Tuesday,800 Battery Ave SE,Cocktail Bars
Spaceman,3301 Lenox Pkwy,"Bars, Salad, Chicken Wings"
MoonShadow Tavern,3976 Lawrenceville Hwy,"Pubs, Music Venues"
97 Estoria,727 Wylie St SE,"Dive Bars, American (Traditional), Chicken Wings"
Republic Lounge,990 Brady Ave NW,"Lounges, Dance Clubs, Hookah Bars"
The Office Bar,1105 W Peachtree St NW,"Sports Bars, Cocktail Bars, Tapas/Small Plates"
Rodeo Sports Bar,1869 Mt Zion Rd,Sports Bars
The Northside Tavern,1058 Howell Mill Rd NW,"Jazz & Blues, Dive Bars"
Postino Buckhead,3655 Roswell Rd NE,"Italian, Wine Bars, Breakfast & Brunch"
Supply & Demand,3223 Cains Hill Pl NW,Bars
Johnny's Hideaway,3771 Roswell Rd NE,"Dance Clubs, Lounges, American (Traditional)"
The Manchester Arms,1705 Virginia Ave,"British, Pubs"
Sister Louisa's Church of the Living Room & Ping Pong Emporium,466 Edgewood Ave,Bars
Moondogs,3179 Peachtree Rd NE,"Sports Bars, Karaoke, Dance Clubs"
BOHO 115,115 Sycamore St,"Bars, Mexican, Empanadas"
The Vortex Bar And Grill - Midtown,878 Peachtree St NE,"Burgers, American (Traditional), Bars"
Barn Booze n Bites,5521 Chamblee Dunwoody Rd,Bars
The Rooftop,789 Ponce De Leon Ave NE,Bars
PBR Atlanta: A Coors Banquet Bar,825 Battery Ave SE,Sports Bars
The Bureau,349 Peachtree Hills Ave NE,Bars
Rosé & Rye,3377 Peachtree Rd NE,Cocktail Bars
The Patio Social Club,3150 Highlands Pkwy SE,"Tobacco Shops, Lounges, Cigar Bars"
Red Fox Billiards Club,6035 Peachtree Rd,"Bars, Pool Halls"
Karma Bistro ATL,1179 S Hairston Rd,Lounges
Bar Margot,75 14th St NE,"Lounges, Music Venues"
My Parents' Basement,22 N Avondale Rd,"Comic Books, Bars, Arcades"
Wheelhouse Craft Pub And Kitchen,1479 Scott Blvd,"Pubs, Fish & Chips, Burgers"
Little Spirit,299 N Highland Ave NE,Cocktail Bars
The James Room,661 Auburn Ave NE,"Cafes, Cocktail Bars"
The Rusty Nail Pub,2900 Buford Hwy NE,"American (Traditional), Dive Bars, Barbeque"
Battle & Brew,5920 Roswell Rd,"Bars, American (New), Arcades"
Black Bear Tavern,1931 Peachtree Rd NE,"Sports Bars, American (Traditional)"
The Ubar,3515 Camp Creek Pkwy,"Sports Bars, Mexican, Sandwiches"
Luxor Lounge,6967 Main St,Lounges
The St. Regis Bar,88 W Paces Ferry Rd NW,Cocktail Bars
The Third Door,131 Church St,"Speakeasies, Lounges, Music Venues"
Blue Martini,3402 Piedmont Rd NE,"Cocktail Bars, Tapas Bars"
Slush Atlanta,327 Edgewood Ave SE,"Tapas/Small Plates, Cocktail Bars"
5Church - Buckhead,3379 Peachtree Rd NE,"American (New), Venues & Event Spaces, Bars"
Eleanor's,1675 Cumberland Pkwy,"Lounges, American (New), Speakeasies"
Pour Taproom - Beltline,661 Auburn Ave NE,Beer Gardens
Rowdy Tiger Whiskey Bar & Kitchen,866 W Peachtree St NW,"Southern, Comfort Food, Whiskey Bars"
Three Taverns Imaginarium,777 Memorial Dr SE,Breweries
Curfew Atl Restaurant & Lounge,2865 Donald Lee Hollowell Pkwy,Lounges
The Painted Pin,737 Miami Cir NE,"Bowling, Bars"
Game Changer Sports Bar,2780 Windy Ridge Pkwy SE,Sports Bars
Burn Lounge,3462 Roosevelt Hwy,"Hookah Bars, Tapas/Small Plates, Lounges"
Grant Park Social,790 Glenwood Ave SE,"Cocktail Bars, Cideries, Beer Bar"
Live! at the Battery Atlanta,825 Battery Ave SE,"Venues & Event Spaces, Sports Bars"
Holiday Bar,1115 Howell Mill Rd NW,"Coffee & Tea, Cocktail Bars"
Our Bar ATL,339 Edgewood Ave SE,"Bars, Pop-Up Restaurants"
Drawbar,1 Interlock Ave NW,"Lounges, Venues & Event Spaces"
The Voo 2,2997 Campbellton Rd,"Lounges, Sports Bars"
Full Throttle Roadhouse,1420 Veterans Memorial Hwy SW,"Bars, Burgers, Hot Dogs"
Smoke City Atl,22 Bennett St NW,Hookah Bars
The SOS Tiki Bar,340 Church St,"Caribbean, Hawaiian, Tiki Bars"
Thinking Man Tavern,537 W Howard Ave,Pubs
Biltong Bar,675 Ponce De Leon Ave NE,Cocktail Bars
The Blind Pig Parlour Bar,128 E Andrews Dr NW,"Lounges, Cocktail Bars, Speakeasies"
Sovereign Sweets,3210 Roswell Rd NW,"Desserts, Cocktail Bars"
Jack's Sports Bar & Grill,1580 E Park Place Blvd,Sports Bars
The Local,758 Ponce De Leon Ave NE,Bars
Maggie's Neighborhood Bar & Grill,2937 N Druid Hills Rd NE,Beer Bar
The Porter Beer Bar,1156 Euclid Ave NE,"Pubs, Beer Bar, Beer, Wine & Spirits"
St James Live,3220 Butner Rd,Jazz & Blues
6am,2839 Buford Hwy NE,"Hookah Bars, Tapas/Small Plates"
Whisky Mistress,3161 Maple Dr NE,"Bars, American (New), Music Venues"
Fado Irish Pub,273 Buckhead Ave,Irish Pub
Sidebar - Atlanta,79 Poplar St NW,"Bars, American (Traditional), Breakfast & Brunch"
Havana Club ATL,3112 Piedmont Rd,"Dance Clubs, Lounges, Venues & Event Spaces"
Two Urban Licks,820 Ralph McGill Blvd NE,"Bars, American (New)"
Fin & Feathers Midtown,1136 Crescent Ave NE,"Bars, Seafood, Sandwiches"
Seven Lamps,3400 Around Lenox Rd,"American (New), Cocktail Bars, Breakfast & Brunch"
